Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Bowler,Runs,Extra Runs,Bowler Extra Runs,Extra,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ,Speed Radar,Speed External,Analyst Pitch Length,Analyst Pitch Line,External PitchX,External PitchY,Analyst Arrival Line,Analyst Arrival Height,Ball Type,Ball Colour
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,1,1,1,Irfan Ali,Scott Dinnes,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:23:06.763,0,North Enfield CC 1st XI,Bat,North,Tom Coughlan,0,0,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,1,No,1,1,0,1,1,1,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,1,2,2,Tom Coughlan,Scott Dinnes,6,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:23:39.957,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,6,0,2,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,2,No,1,1,6,1,1,1,0.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,1,3,3,Tom Coughlan,Scott Dinnes,1,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:23:39.973,0,North Enfield CC 1st XI,Bat,North,Irfan Ali,7,0,2,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,3,No,1,2,7,1,1,1,18.00,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,1,4,4,Irfan Ali,Scott Dinnes,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:24:50.483,0,North Enfield CC 1st XI,Bat,North,Tom Coughlan,7,0,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,4,No,1,2,0,1,1,1,14.00,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,1,5,5,Irfan Ali,Scott Dinnes,2,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:24:51.643,0,North Enfield CC 1st XI,Bat,North,Tom Coughlan,9,0,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,5,No,1,3,2,1,1,1,10.50,10.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,1,6,6,Irfan Ali,Scott Dinnes,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:25:09.357,0,North Enfield CC 1st XI,Bat,North,Tom Coughlan,9,0,1,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,6,No,1,4,2,1,1,1,10.80,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,2,1,7,Tom Coughlan,Ranganath Appi Singri,0,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:25:32.41,0,North Enfield CC 1st XI,Bat,South,Irfan Ali,9,0,2,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,1,No,1,3,7,1,1,1,9.00,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,2,2,8,Tom Coughlan,Ranganath Appi Singri,0,1,1,Wide,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:26:09.723,0,North Enfield CC 1st XI,Bat,South,Irfan Ali,10,0,2,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,No,2,No,1,3,7,1,1,1,7.71,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,2,3,8,Tom Coughlan,Ranganath Appi Singri,0,0,0,,,,,,,,,,,,,Caught,Tom Coughlan,,,,,,,No,No,David Beech,Catch,,,,,,,,,,,RHB,,20240719 13:26:35.09,0,North Enfield CC 1st XI,Bat,South,Irfan Ali,10,1,2,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,2,No,1,4,7,1,1,1,8.57,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Enfield CC 1st XI v Cheshunt Rosedale CC 1st XI,19/07/2024,13:19 UTC+1,1,2,4,9,Steve Gandy,Ranganath Appi Singri,1,0,0,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,,20240719 13:26:36.767,0,North Enfield CC 1st XI,Bat,South,Irfan Ali,11,1,3,,1,1,,,,,,North Enfield CC 1st XI,Cheshunt Rosedale CC 1st XI,Cheshunt Rosedale CC,joemurphy@outlook.com,,,,,,,Yes,3,No,2,1,1,1,1,2,7.50,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
